image,href,adress,price,title
https://img.olx.com.br/thumbs256x256/68/681007009654685.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-dou-de-entrada-em-carro-de-maior-valor-703267827,"
									São José, 
										Forquilhinha
									
								", R$ 15.000,"
									Vendo/ dou de entrada em carro de maior valor - 2012
								"
https://img.olx.com.br/thumbs256x256/91/914922094945621.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-spacefox-trend-1-6-8v-flex-2014-703255619,"
									Palhoça, 
										Ponte do Imaruim
									
								", R$ 35.900,"
									Volkswagen Spacefox trend 1.6 8v Flex 2014 - 2014
								"
https://img.olx.com.br/thumbs256x256/68/683007009840109.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/crossfox-1-6-mi-2014-703252297,"
									São José, 
										Real Parque
									
								", R$ 35.000,"
									CrossFox 1.6 mi 2014 - 2014
								"
https://img.olx.com.br/thumbs256x256/68/687007008616861.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fusca-67-olho-de-boi-carro-top-cor-no-documento-703237140,"
									São José, 
										Forquilhas
									
								", R$ 23.500,"
									Fusca 67 olho de boi carro top, cor no documento
								"
"https://img.olx.com.br/thumbs256x256/39/398909113188882.jpg,394909112823244.jpg,397909110400808.jpg,399909111712201.jpg,390909110235520.jpg,399909115970765.jpg,393909119779346.jpg,397909116916520.jpg",https://(null).olx.com.br/(null)/(null)/spacefox-1-6-msi-trendline-flex-672149919,"
									
										Kobrasol
									
								", R$ 49.900,"
									SpaceFox 1.6 MSI Trendline (Flex)
								"
https://img.olx.com.br/thumbs256x256/68/686007005309109.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-703194126,"
									Palhoça, 
										São Sebastião
									
								", R$ 6.500,"
									Gol - 2000
								"
https://img.olx.com.br/thumbs256x256/30/300930102449378.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-power-2013-703190988,"
									São José, 
										Ipiranga
									
								", R$ 30.000,"
									Gol Power 2013 - 2013
								"
https://img.olx.com.br/thumbs256x256/49/496919115200987.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/crossfox-677205120,"
									São José, 
										Fazenda Santo Antônio
									
								", R$ 24.900,"
									Crossfox - 2008
								"
https://img.olx.com.br/thumbs256x256/68/686007002332575.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-special-aceito-moto-703181793,"
									São José, 
										Barreiros
									
								", R$ 9.900,"
									Gol special aceito moto - 2003
								"
https://img.olx.com.br/thumbs256x256/25/253925108166130.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-sr-1-6-2000-703159955,"
									Águas Mornas
										
									
								", R$ 11.000,"
									Golf sr 1.6 2000 - 2000
								"
https://img.olx.com.br/thumbs256x256/26/262926105121902.jpg,https://(null).olx.com.br/(null)/(null)/gol-1-6-msi-flex-671165297,"
									
										Kobrasol
									
								", R$ 41.900,"
									Gol 1.6 MSI (Flex)
								"
https://img.olx.com.br/thumbs256x256/68/689007009491570.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-trendline-1-6-8v-703155967,"
									Palhoça, 
										Ponte do Imaruim
									
								", R$ 35.900,"
									Saveiro Trendline 1.6 8V - 2016
								"
https://img.olx.com.br/thumbs256x256/68/686007003851642.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-2018-2019-1-6-msi-totalflex-4p-manual-673491304,"
									São José, 
										Campinas
									
								", R$ 38.900,"
									VOLKSWAGEN GOL 2018/2019 1.6 MSI TOTALFLEX 4P MANUAL - 2019
								"
https://img.olx.com.br/thumbs256x256/68/684007000295483.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spacefox-2012-2013-1-6-mi-trend-8v-flex-4p-manual-692323420,"
									São José, 
										Campinas
									
								", R$ 33.900,"
									SPACEFOX 2012/2013 1.6 MI TREND 8V FLEX 4P MANUAL - 2013
								"
https://img.olx.com.br/thumbs256x256/21/219921102237605.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/venda-gol-703065291,"
									São José, 
										Real Parque
									
								", R$ 6.000,"
									Venda Gol - 1996
								"
https://img.olx.com.br/thumbs256x256/68/682007004543318.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-virtus-2018-2019-1-0-200-tsi-comfortline-automatico-689220791,"
									São José, 
										Praia Comprida
									
								", R$ 68.500,"
									VOLKSWAGEN VIRTUS 2018/2019 1.0 200 TSI COMFORTLINE AUTOMÁTICO - 2019
								"
