image,href,adress,price,title
https://img.olx.com.br/thumbs256x256/79/796018000125050.jpg,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/uno-99-1-0-8v-707538028,"Biguaçu, 
										Jardim Janaína",R$ 5.000,Uno 99 1.0 8v - 1999
https://img.olx.com.br/thumbs256x256/79/794018001650309.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/idea-elx-1-4-8v-695546719,"São José, 
										Roçado",R$ 19.900,Idea ELX 1.4 8V - 2007
https://img.olx.com.br/thumbs256x256/43/439913114771581.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-2007-2008-1-0-mpi-fire-8v-flex-4p-manual-692323291,"São José, 
										Campinas",R$ 19.900,PALIO 2007/2008 1.0 MPI FIRE 8V FLEX 4P MANUAL - 2008
https://img.olx.com.br/thumbs256x256/71/713902093734080.jpg,https://(null).olx.com.br/(null)/(null)/uno-vivace-1-0-8v-flex-2p-640640080,Kobrasol,R$ 19.900,Uno Vivace 1.0 8V (Flex) 2p
https://img.olx.com.br/thumbs256x256/79/796018005747047.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2017-2018-1-8-e-torq-flex-hgt-at6-680249821,"São José, 
										Barreiros",R$ 62.490,FIAT ARGO 2017/2018 1.8 E.TORQ FLEX HGT AT6 - 2018
https://img.olx.com.br/thumbs256x256/79/797018007135889.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-500-cult-707411351,"São José, 
										Barreiros",R$ 32.000,Fiat 500 cult - 2012
https://img.olx.com.br/thumbs256x256/53/537923116302003.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toro-2017-2018-2-0-16v-turbo-diesel-volcano-4wd-automatico-707401910,"São José, 
										Kobrasol",R$ 108.900,TORO 2017/2018 2.0 16V TURBO DIESEL VOLCANO 4WD AUTOMÁTICO - 2018
https://img.olx.com.br/thumbs256x256/72/725903097255431.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-essence-1-6-16v-654504500,"Palhoça, 
										Caminho Novo",R$ 31.900,Palio ESSENCE 1.6 16V - 2014
"https://img.olx.com.br/thumbs256x256/49/492919118621862.jpg,493919117145181.jpg,498919119477081.jpg,492919113309476.jpg,494919110356114.jpg,494919118879433.jpg,496919115243465.jpg,499919116547533.jpg,498919112290103.jpg",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-idea-adventure-1-8-completa-2013-2014-670166065,Santo Amaro da Imperatriz,R$ 37.000,Fiat Idea Adventure 1.8 Completa 2013/2014 - 2014
https://img.olx.com.br/thumbs256x256/46/464916111223993.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vende-se-palio-ex-707337696,"Palhoça, 
										Aririú",R$ 5.500,Vende se Palio EX - 2000
https://img.olx.com.br/thumbs256x256/58/580928116882176.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-ep-95-707331000,"São José, 
										Nossa Senhora do Rosário",R$ 3.000,Uno EP 95 - 1995
https://img.olx.com.br/thumbs256x256/78/788017004542856.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toro-freedom-1-8-16v-698911118,"São José, 
										Roçado",R$ 89.900,Toro Freedom 1.8 16V - 2020
https://img.olx.com.br/thumbs256x256/43/434913113035674.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2018-2019-1-0-firefly-flex-manual-662796487,"São José, 
										Campinas",R$ 40.900,FIAT ARGO 2018/2019 1.0 FIREFLY FLEX MANUAL - 2019
https://img.olx.com.br/thumbs256x256/30/305922032639626.jpg,https://(null).olx.com.br/(null)/(null)/palio-4p-fire-1-0-8v-flex-682832200,Kobrasol,R$ 25.900,Palio 4p Fire 1.0 8V (Flex)
https://img.olx.com.br/thumbs256x256/78/786017001835850.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-2017-2017-1-8-mpi-adventure-weekend-16v-flex-4p-manual-692886672,"São José, 
										Praia Comprida",R$ 49.990,PALIO 2017/2017 1.8 MPI ADVENTURE WEEKEND 16V FLEX 4P MANUAL - 2017
https://img.olx.com.br/thumbs256x256/13/131913108838080.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/punto-essence-dualogic-aut-1-6-697842761,"São José, 
										Kobrasol",R$ 28.900,Punto ESSENCE Dualogic Aut 1.6  - 2012
https://img.olx.com.br/thumbs256x256/52/520913088652783.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-2010-2010-1-0-mpi-el-celebration-8v-flex-4p-manual-707170910,"São José, 
										Campinas",R$ 19.900,SIENA 2010/2010 1.0 MPI EL CELEBRATION 8V FLEX 4P MANUAL - 2010
