price,href,title
 R$ 11.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/carro-703584110,"
									Carro - 2003
								"
 R$ 30.990,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-lt-1-4-2013-preco-top-679472582,"
									Chevrolet - Onix LT 1.4 - 2013- Preço Top - 2013
								"
 R$ 49.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/veracruz-c-gnv-7-lugares-703582497,"
									VERACRUZ C/ GNV 7 Lugares - 2011
								"
 R$ 5.700,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-um-ford-ka-carro-bem-conservado-otimo-de-motor-703581263,"
									Vendo um ford ka carro bem conservado ótimo de motor - 2000
								"
 R$ 64.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/v40-2013-2014-2-0-t4-dynamic-turbo-gasolina-4p-automatico-694995920,"
									V40 2013/2014 2.0 T4 DYNAMIC TURBO GASOLINA 4P AUTOMÁTICO - 2014
								"
 R$ 43.500,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-kangoo-2017-2018-1-6-express-16v-flex-4p-manual-692897301,"
									RENAULT KANGOO 2017/2018 1.6 EXPRESS 16V FLEX 4P MANUAL - 2018
								"
 R$ 31.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2016-2016-1-0-ti-vct-se-12v-flex-4p-manual-672286485,"
									FORD KA 2016/2016 1.0 TI-VCT SE 12V FLEX 4P MANUAL - 2016
								"
 R$ 38.900,https://(null).olx.com.br/(null)/(null)/novo-voyage-1-6-msi-trendline-flex-689205119,"
									Novo Voyage 1.6 MSI Trendline (Flex)
								"
 R$ 24.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/voyage-703565375,"
									Voyage - 2014
								"
 R$ 9.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-g3-1-0-8v-legalizado-baixo-703564211,"
									Gol g3 1.0 8v. Legalizado baixo - 2003
								"
 R$ 36.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-2018-2019-1-0-12v-sce-flex-expression-manual-654005102,"
									RENAULT SANDERO 2018/2019 1.0 12V SCE FLEX EXPRESSION MANUAL - 2019
								"
 R$ 29.899,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/peugeot-408-impecavel-590046668,"
									Peugeot 408 impecável!!!! - 2012
								"
 R$ 27.999,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-cross-up-2018-2018-1-0-tsi-12v-flex-4p-manual-688530828,"
									Vendo/Troco ou Alugo para motoristas de App - 2015
								"
 R$ 48.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/stilo-sporting-703539608,"
									VOLKSWAGEN CROSS UP 2018/2018 1.0 TSI 12V FLEX 4P MANUAL - 2018
								"
 R$ 26.500,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ka-sedan-1-5-16v-703537425,"
									Stilo Sporting - 2009
								"
 R$ 40.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-tiguan-2011-2011-2-0-tsi-16v-turbo-gasolina-4p-tiptronic-692322344,"
									Ka+ Sedan 1.5 16V - 2017
								"
 R$ 49.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/city-sedan-dx-1-5-16v-703527897,"
									VOLKSWAGEN TIGUAN 2011/2011 2.0 TSI 16V TURBO GASOLINA 4P TIPTRONIC - 2011
								"
 R$ 42.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiesta-sedan-1-6-completo-cm-gnv-703522570,"
									CITY Sedan DX 1.5 16V - 2013
								"
